iter	Passed	Remaining
0	3	301
1	6	302
2	8	290
3	11	278
4	14	276
5	17	272
6	20	269
7	23	270
8	26	265
9	29	262
10	31	258
11	34	256
12	37	252
13	40	249
14	43	246
15	46	243
16	49	240
17	52	237
18	55	234
19	57	231
20	60	228
21	63	224
22	66	222
23	69	219
24	72	216
25	74	213
26	77	210
27	80	207
28	83	204
29	86	201
30	89	198
31	92	195
32	95	192
33	97	189
34	100	187
35	103	184
36	106	181
37	109	178
38	112	175
39	114	172
40	117	169
41	118	164
42	121	161
43	124	158
44	127	155
45	130	152
46	133	150
47	136	147
48	138	144
49	141	141
50	144	138
51	147	136
52	150	133
53	153	130
54	155	126
55	157	124
56	160	121
57	163	118
58	166	115
59	169	112
60	172	110
61	175	107
62	178	104
63	180	101
64	184	99
65	187	96
66	189	93
67	192	90
68	195	87
69	198	85
70	201	82
71	204	79
72	207	76
73	210	73
74	213	71
75	215	68
76	218	65
77	221	62
78	224	59
79	227	56
80	230	54
81	233	51
82	236	48
83	239	45
84	242	42
85	244	39
86	247	37
87	250	34
88	253	31
89	256	28
90	259	25
91	262	22
92	264	19
93	267	17
94	270	14
95	273	11
96	276	8
97	279	5
98	281	2
99	284	0
